Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Skills,Job Location,Company Name
2682986418,2017-01-08,Data Scientist,Data Scientist,[],"Mountain View, CA",Toptal
2693767021,2017-01-08,Senior Analyst,"Senior Analyst, Product","['saas', 'slack', 'sql', 'excel']",United States,Slack
2744666145,2017-01-08,Data Analyst,"Epic Clarity, Senior Data Analyst","['cloud', 'power_bi', 'tableau', 'sql', 'bi', 'machine_learning']",United States,Sud Recruiting
2690732245,2017-01-08,Software Engineer,Software Engineer Ii,"['agile/scrum', 'javascript', 'agile', 'html5', 'node.js', 'git', 'saas', 'css', 'mongodb', 'ci/cd', 'html', 'machine_learning']","Chicago, IL",Wonderlic
2418215890,2017-01-08,Software Engineer,Software Engineer,"['cloud', 'golang', 'programming']","New Orleans, LA",HashiCorp
2747895395,2017-01-09,Software Engineer,"Content Software Engineer, Cs Assessment Specialist","['python', 'git', 'programming', 'c', 'github', 'java', 'xml', 'c++']",United States,Wiley
2696302614,2017-01-09,Sales Engineer,"Sales Engineer, Central","['microsoft', 'cloud']","Chicago, IL",Lookout
2707841581,2017-01-09,Software Engineer,"Senior Software Engineer, Devops","['cloud', 'ruby', 'agile', 'python', 'asp.net', 'powershell', 'devops', 'c', 'github', 'microsoft', 'ci/cd', 'shell', 'aws', 'kanban', 'azure', 'unix']","San Jose, CA",Icertis
2689080365,2017-01-09,Software Developer,Software Developer Inventory || Us,"['oracle', 'database', 'git', 'backend', 'microsoft', 'frontend', 'ci/cd', 'cloud', 'java', 'css', 'aws', 'html', 'coding', 'programming', 'postgresql', 'aurora', 'asp.net', 'docker', 'c']",United States,Enterprise Solutions Inc.
2748685701,2017-01-09,Software Engineer,"Software Engineer Ii- Admin Panel, Internal Tooling","['ios', 'ruby']",United States,Housecall Pro
2701998800,2017-01-09,Developer,Swift Developer,[],"Gilbert, AZ",Toptal
2671714552,2017-01-09,Software Engineer,Software Engineer,"['scrum', 'cloud', 'javascript', 'ruby', 'aws', 'agile', 'python', 'programming', 'linux', 'go']","Ellicott City, MD",Huntress
2678416614,2017-01-10,Software Engineer,"Senior Software Engineer, Enterprise","['data_lake', 'python', 'devops', 'spark', 'backend', 'ci/cd', 'java', 'aws', 'mysql', 'redshift', 'scala']","Raleigh, NC",Teladoc Health
2689886094,2017-01-10,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","Allen, TX",Toptal
2702492018,2017-01-10,Business Analyst,Business Analyst Senior-Technical,"['cloud', 'splunk']","Reston, VA",Leidos
2674147468,2017-01-10,Business Analyst,It Governance Business Analyst,"['excel', 'microsoft', 'powerpoint']","United, LA",Blackbaud
2693776608,2017-01-10,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","St Louis, MO",Toptal
2698187892,2017-01-10,Business Analyst,Business Analyst,"['excel', 'spreadsheets', 'word', 'powerpoint', 'sharepoint']","California, United States",Aditi Consulting
2669972802,2017-01-10,Software Engineer,Software Engineer,"['scrum', 'backend', 'cloud', 'agile', 'kanban', 'devops']","Nevada, United States",MGM Resorts International
2713200914,2017-01-10,Quality Engineer,Data Quality Engineer,"['bi', 'slack', 'warehousing', 'snowflake', 'sql']","Salt Lake City, UT",Degreed
2707293521,2017-01-11,Developer,Servicenow Developer- Ticketing,"['javascript', 'sql', 'js']","Philadelphia, PA","The Brixton Group, Inc."
2683509481,2017-01-11,Business Analyst,Business Analyst,['agile'],"Pittsburgh, PA","Infomatics, Inc"
2704706180,2017-01-11,Data Engineer,Remote Data Engineer,"['warehousing', 'cloud', 'aws', 'python', 'snowflake']",United States,Dice
2554017973,2017-01-11,Software Engineer,Senior Software Engineer,"['microsoft', 'cloud', 'java', 'javascript', 'aws', 'python', 'programming', 'azure', 'go', 'c']","Boston, MA",HashiCorp
2675023063,2017-01-11,Ux Researcher,Ux Researcher,[],"Illinois, United States",Kraken Digital Asset Exchange
2717468986,2017-01-11,Software Engineer,Software Engineer,"['javascript', 'node.js', 'mongodb', 'java', 'postgres']","Las Vegas, NV",Auth0
2702972706,2017-01-11,Business Analyst,Lead Business Analyst,"['microsoft', 'sql', 'vba']","Columbia, SC",Stryker
2739254173,2017-01-11,Ux Researcher,Ux Researcher,['excel'],"North Charleston, SC",Toptal
2737585646,2017-01-11,Solutions Engineer,Solutions Engineer,"['cloud', 'power_bi', 'linux', 'bi', 'qlik', 'tableau', 'etl', 'cognos', 'sql', 'excel']",United States,OmniSci
2715134465,2017-01-11,Software Engineer,"Intern, Software Engineer","['javascript', 'python', 'c', 'java', 'html', 'c++', 'coding']","Boston, MA",Autodesk
